path,title,artist,album,year,duration_ms
4 Strings - Lights Out (Original Mix).mp3,Lights Out,4 Strings,,,313887
5 Seconds Of Summer - Youngblood (Alt Version).mp3,Youngblood (Alt Version),5 Seconds Of Summer,,,205662
Afrojack - Rock The House (Official Music Video).mp3,Rock The House,Afrojack,,,305554
Algorhythm - I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (1).mp3,I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (1),Algorhythm,,,398289
Algorhythm - I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (2).mp3,I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix) - Copy (2),Algorhythm,,,398289
Algorhythm - I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix).mp3,I Don't Know How (feat Vangosh - Beto Dias & Felipe Wrechiski remix),Algorhythm,,,398289
Aquascape Makassar Go Green My Bedroom.mp3,Aquascape Makassar Go Green My Bedroom,,,,151589
"Arty, Matisse & Sadko - Riot (Official Music Video).mp3",Riot,"Arty, Matisse & Sadko",,,228415
Audien - Elysium (OUT NOW).mp3,Elysium,Audien,,,97437
Audio Bullys - I'm In Love.mp3,I'm In Love,Audio Bullys,,,187507
Audio Bullys ft. Nancy Sinatra - Bang Bang HQ.mp3,Bang Bang HQ,Audio Bullys ft. Nancy Sinatra,,,413048
Bass King Vs. X-Vertigo feat. Golden Sun - Kings (Music Video).mp3,Kings (Music Video),Bass King Vs. X-Vertigo feat. Golden Sun,,,225776
Bassjackers vs Fedde Le Grand & Nicky Romero & Matthew Koma - Crackin & Sparks (Marius Tămaş Mashup).mp3,Crackin & Sparks (Marius Tămaş Mashup),Bassjackers vs Fedde Le Grand & Nicky Romero & Matthew Koma,,,395311
Basto & Yves V - CloudBreaker (Radio Mix).mp3,CloudBreaker (Radio Mix),Basto & Yves V,,,201012
Basto - Again and Again (Official Music Video) [HD].mp3,Again and Again,Basto,,,195788
Basto - BONNY (Original Mix).mp3,BONNY,Basto,,,403984
Basto - Gregory's Theme (Original Mix).mp3,Gregory's Theme,Basto,,,428016
Basto - I Rave You (Original Mix).mp3,I Rave You,Basto,,,325172
Ben Pearce - What I Might Do (Official Video).mp3,What I Might Do,Ben Pearce,,,188709
Benny Benassi - No matter what you do.mp3,No matter what you do,Benny Benassi,,,206002
Benny Benassi ft. Gary Go - Cinema [OFFICAL VIDEO HD].mp3,Cinema [OFFICAL VIDEO HD],Benny Benassi ft. Gary Go,,,209580
Benny Benassi ft. Gary Go - Control [Official Video HD].mp3,Control,Benny Benassi ft. Gary Go,,,227187
Blasterjaxx - Fifteen (Hardwell Edit) - [OUT NOW!].mp3,Fifteen (Hardwell Edit) -,Blasterjaxx,,,311719
Calvin Harris & Alesso - Under Control ft. Hurts.mp3,Under Control ft. Hurts,Calvin Harris & Alesso,,,210442
Calvin Harris - Bounce ft. Kelis.mp3,Bounce ft. Kelis,Calvin Harris,,,230766
Calvin Harris - Let's Go ft. Ne-Yo.mp3,Let's Go ft. Ne-Yo,Calvin Harris,,,246204
Calvin Harris - Sweet Nothing ft. Florence Welch.mp3,Sweet Nothing ft. Florence Welch,Calvin Harris,,,268878
Calvin Harris feat. Example - We'll Be Coming Back (Lyrics).mp3,We'll Be Coming Back,Calvin Harris feat. Example,,,232020
"Calvin Harris, Sam Smith - Promises (Official Lyric Video).mp3",Promises,"Calvin Harris, Sam Smith",,,213943
Carnage & Borgore - Incredible (Original Mix).mp3,Incredible,Carnage & Borgore,,,376973
Cedric Gervais & Borgore - Deception (Original Mix).mp3,Deception,Cedric Gervais & Borgore,,,345469
Cedric Gervais & CID - Never Come Close (OUT NOW).mp3,Never Come Close,Cedric Gervais & CID,,,130821
Cedric Gervais - Molly (Original Mix).mp3,Molly,Cedric Gervais,,,412996
Cedric Gervais - The Look (Original Mix).mp3,The Look,Cedric Gervais,,,282358
Chase & Status - Count On Me ft. Moko.mp3,Count On Me ft. Moko,Chase & Status,,,229564
Chuckie - Who Is Ready To Jump (Dada Life Remix).mp3,Who Is Ready To Jump (Dada Life Remix),Chuckie,,,313313
CLMD - Black Eyes and Blue (official video).mp3,Black Eyes and Blue,CLMD,,,218279
CLMD - Falling Like Angels.mp3,Falling Like Angels,CLMD,,,211461
Coldplay - Paradise (Fedde le Grand Remix).mp3,Paradise (Fedde le Grand Remix),Coldplay,,,266893
Crooklyn Clan - Let's Get Ill (Dirty) (AV161).mp3,Let's Get Ill (Dirty) (AV161),Crooklyn Clan,,,202005
Daft Punk - Get Lucky (Audio Jacker Remix).mp3,Get Lucky,Daft Punk,,,453329
David Solano ft. Angelika Vee - Who We Are (OUT NOW).mp3,Who We Are,David Solano ft. Angelika Vee,,,120242
Deadmau5 - Brazil (2nd Edit) (1080p)  HD.mp3,Brazil (2nd Edit) (1080p) HD,Deadmau5,,,398968
Deorro - Yee [OUT NOW!].mp3,Yee,Deorro,,,217940
Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,Project T (Martin Garrix Remix),Dimitri Vegas & Like Mike vs Sander van Doorn,,,310570
Dimitri Vegas & Like Mike vs. Sander van Doorn - Project T (Martin Garrix Remix) [Teaser].mp3,Project T (Martin Garrix Remix),Dimitri Vegas & Like Mike vs. Sander van Doorn,,,96993
"Dimitri Vegas, Like Mike & GTA Ft. Wolfpack - Turn It Up (Original Mix).mp3",Turn It Up,"Dimitri Vegas, Like Mike & GTA Ft. Wolfpack",,,347402
"Dimitri Vegas, MOGUAI & Like Mike - Mammoth (Original Mix).mp3",Mammoth,"Dimitri Vegas, MOGUAI & Like Mike",,,332251
Disclosure - White Noise ft. AlunaGeorge (Official Video) - Copy (1).mp3,White Noise ft. AlunaGeorge - Copy (1),Disclosure,,,282253
Disclosure - White Noise ft. AlunaGeorge (Official Video).mp3,White Noise ft. AlunaGeorge,Disclosure,,,282253
Discopolis - Committed to Sparkle Motion (DubVision Remix).mp3,Committed to Sparkle Motion (DubVision Remix),Discopolis,,,364460
Dj Chuckie - Who is ready to jump (Original Mix).mp3,Who is ready to jump,Dj Chuckie,,,225123
DJ Dan & Charles Feelgood - Funky Mood.mp3,Funky Mood,DJ Dan & Charles Feelgood,,,365897
DJ Dan - Out of Nowhere - Guesthouse Music.mp3,Out of Nowhere - Guesthouse Music,DJ Dan,,,356310
Dj getdown-i'm a Fucking alcoholic.mp3,Dj getdown-i'm a Fucking alcoholic,,,,288052
Don Diablo - Origins (Official Music Video).mp3,Origins,Don Diablo,,,223086
Dr. Kucho! & Gregor Salto - Can't Stop Playing (Oliver Heldens & Gregor Salto Remix) [OUT NOW].mp3,Can't Stop Playing (Oliver Heldens & Gregor Salto Remix),Dr. Kucho! & Gregor Salto,,,180532
Droplex - Killa Kokain (Original mix).mp3,Killa Kokain,Droplex,,,185887
DVBBS & Borgeous - TSUNAMI (Music Video).mp3,TSUNAMI (Music Video),DVBBS & Borgeous,,,146860
Erick Morillo & Eddie Thoneick feat. Shawnee Taylor - Live Your Life (Official Video).mp3,Erick Morillo & Eddie Thoneick feat. Shawnee Taylor,,,,207308
"Erick Morillo, Harry Romero & Jose Nunez feat. Shawnee Taylor - My Melody (Club Mix).mp3",My Melody (Club Mix),"Erick Morillo, Harry Romero & Jose Nunez feat. Shawnee Taylor",,,335047
Example - Show Me How to Love (feat. Hayla) [Lyric Video].mp3,Show Me How to Love (feat. Hayla),Example,,,216111
Fash & Nick Hussey - Shine (Dirty Freek Cino Edit).mp3,Shine (Dirty Freek Cino Edit),Fash & Nick Hussey,,,371017
"Fatboy Slim, Riva Starr & Beardyman - Eat Sleep Rave Repeat (Calvin Harris Remix) [Official Video].mp3",Eat Sleep Rave Repeat (Calvin Harris Remix),"Fatboy Slim, Riva Starr & Beardyman",,,198348
Fedde le Grand & Nicky Romero ft. Matthew Koma - Sparks (Official Video) @ Ultra Music Festival.mp3,Sparks @ Ultra Music Festival,Fedde le Grand & Nicky Romero ft. Matthew Koma,,,174968
Fedde le Grand - Metrum (Official release).mp3,Metrum,Fedde le Grand,,,338103
Fedde Le Grand - So Much Love (Official Music Video).mp3,So Much Love,Fedde Le Grand,,,242181
Filatov - Back in the Love (Dmitry Filatov Mix)  .rpt.mp3,Back in the Love (Dmitry Filatov Mix) .rpt,Filatov,,,434286
Firebeatz & Schella - Wicked (Original Mix).mp3,Wicked,Firebeatz & Schella,,,316134
Funk Agenda - What The Fuck.mp3,What The Fuck,Funk Agenda,,,396460
Futuristic Polar Bears - Back To Earth [OUT NOW!].mp3,Back To Earth,Futuristic Polar Bears,,,330449
Get Shaky - The Ian Carey Project wlyrics.mp3,The Ian Carey Project wlyrics,Get Shaky,,,379167
Gorgon City - Ready For Your Love ft. MNEK.mp3,Ready For Your Love ft. MNEK,Gorgon City,,,207151
Henry Fong & Toby Green - Revival (Original Mix).mp3,Revival,Henry Fong & Toby Green,,,331938
Ian Carey & Doron feat. Ray J and Kardinal Offishall - Baddest Chick (Official Music Video).mp3,Baddest Chick,Ian Carey & Doron feat. Ray J and Kardinal Offishall,,,184477
J Paul Getto - Love Is True (Wise D & Kobe remix).mp3,Love Is True (Wise D & Kobe remix),J Paul Getto,,,226900
Jamnights - Big Fun! (Agent Stereo Needs Some Fun-K Remix).mp3,Big Fun! (Agent Stereo Needs Some Fun-K Remix),Jamnights,,,368039
"Jason Risk - 1, 2, 3, Yeah (Chris Bullen Remix) [Hype Recordings].mp3","1, 2, 3, Yeah (Chris Bullen Remix) [Hype Recordings]",Jason Risk,,,260049
Kat Krazy feat. elkka - Siren (Official Music Video).mp3,Siren,Kat Krazy feat. elkka,,,248398
Kelis - 4th Of July (Fireworks).mp3,4th Of July (Fireworks),Kelis,,,225776
Kelis - Acapella.mp3,Acapella,Kelis,,,243801
Kelis - Brave.mp3,Brave,Kelis,,,219925
Kelis - Scream.mp3,Scream,Kelis,,,217992
Klangkarussell - Sonnentanz.mp3,Sonnentanz,Klangkarussell,,,362397
Knife Party - 'Power Glove' - OUT NOW.mp3,'Power Glove',Knife Party,,,261251
Knife Party - Internet Friends (Hardwell Original Mix Edit).mp3,Internet Friends (Hardwell Original Mix Edit),Knife Party,,,290926
Knife Party - Internet Friends.mp3,Internet Friends,Knife Party,,,185940
Koen Groeneveld - Jetblast (OUT NOW).mp3,Jetblast,Koen Groeneveld,,,171807
Lady Lago - Star Chaser (Club Mix).mp3,Star Chaser (Club Mix),Lady Lago,,,332643
